,FUNCION,ID,PAR_INICIO,PAR_FIN,KEY_INICIO,KEY_FIN,RETURN,PCOMA,COMA,ENTRADA,DOSP,SALIDA,DO,WHILE,FOR,OF,NUM,IF,ILSE,ELSE,OPER_OR,OPER_AND,OPER_ASIG,OPER_REST,OPER_SUM,OPER_MUL,OPER_DIV,OPER_MAYOR,OPER_MENOR,OPER_MAY_IGUAL,OPER_MEN_IGUAL,OPER_IGUAL,OPER_DIFERENT,OPER_MODULO,CADENA,REAL,CARACTER,BOOLEANO,$
K,R,M,,,,M,M,,,M,,M,M,M,M,,,M,M,M,,,,,,,,,,,,,,,,,,,M
R,FUNCION ID PAR_INICIO V PAR_FIN KEY_INICIO M H KEY_FIN K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,e,RETURN E PCOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,,ID Ñ,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ñ,,,,e,,,,,COMA V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,,J K,,,,e,e,,,ENTRADA DOSP PAR_INICIO ID PAR_FIN PCOMA K,,SALIDA DOSP PAR_INICIO E N PAR_FIN PCOMA K,DO_WILE K,WILE K,FR K,,,I K,G K,W K,,,,,,,,,,,,,,,,,,,e
N,,,,e,,,,,COMA E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO_WILE,,,,,,,,,,,,,DO KEY_INICIO M KEY_FIN WHILE PAR_INICIO E L PAR_FIN PCOMA,,,,,,,,,,,,,,,,,,,,,,,,,,
WILE,,,,,,,,,,,,,,WHILE PAR_INICIO E L PAR_FIN KEY_INICIO M KEY_FIN,,,,,,,,,,,,,,,,,,,,,,,,,
FR,,,,,,,,,,,,,,,FOR DOSP ID OF PAR_INICIO NUM COMA NUM PAR_FIN KEY_INICIO M KEY_FIN,,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,IF DOSP PAR_INICIO E L PAR_FIN KEY_INICIO M KEY_FIN,,,,,,,,,,,,,,,,,,,,,
G,,,,,,,,,,,,,,,,,,,ILSE DOSP PAR_INICIO E L PAR_FIN KEY_INICIO M KEY_FIN,,,,,,,,,,,,,,,,,,,,
W,,,,,,,,,,,,,,,,,,,,ELSE DOSP KEY_INICIO M KEY_FIN,,,,,,,,,,,,,,,,,,,
L,,,,e,,,,,,,,,,,,,,,,,OPER_OR E,OPER_AND E,,,,,,,,,,,,,,,,,
Z,,,PAR_INICIO V PAR_FIN,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,,ID A Z PCOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,e,e,e,,,e,e,e,,e,,e,e,e,e,,,e,e,e,,,OPER_ASIG E,,,,,,,,,,,,,,,,e
E,,T E',T E',,,,,,,,,,,,,,T E',,,,,,,OPER_REST T E',,,,,,,,,,,T E',T E',T E',T E',
E',e,e,e,e,,e,e,e,e,e,,e,e,e,e,,,e,e,e,e,e,,OPER_REST T E',OPER_SUM T E',OPER_MUL T E',OPER_DIV T E',OPER_MAYOR T E',OPER_MENOR T E',OPER_MAY_IGUAL T E',OPER_MEN_IGUAL T E',OPER_IGUAL T E',OPER_DIFERENT T E',OPER_MODULO T E',,,,,e
T,,F T',F T',,,,,,,,,,,,,,F T',,,,,,,,,,,,,,,,,,F T',F T',F T',F T',
T',e,e,e,e,,e,e,e,e,e,,e,e,e,e,,,e,e,e,e,e,,e,e,e,e,e,e,e,e,e,e,e,,,,,e
F,,ID,PAR_INICIO E PAR_FIN,,,,,,,,,,,,,,NUM,,,,,,,,,,,,,,,,,,CADENA,REAL,CARACTER,BOOLEANO,